id,name,short_description,long_description,thumbnail_image,large_image,chain_id,member_count,is_erc721,is_featured,userId
936db2b6-72bd-4722-a4a0-bd397124883b,Wealth Group,"Unlock Crypto Wealth: Expert Education, Charts & Exclusive Community","**Learn to trade the right way**. **Join our Discord Server today for access to…**

*   **Comprehensive charts** and **trading signals**, such as leverage, spot, and long-term trading
*   Learn effective **risk management** & **profitable trading** techniques to aid your trading
*   **Expert opinions** from professionals in the field
*   **Networking opportunities** with like-minded individuals
*   A dedicated **NFT hub** for discussions and whitelists
*   Engaging **educational courses** and content
*   Private **livestreams** and real-time trade demonstrations
*   Professional **portfolio management** guidance
*   Exciting **$1k to $10k** challenges
*   Personalized **one-on-one mentorship sessions**

While many members initially join for trading and profits, they often remain with us due to the **invaluable insights** we provide and the **close-knit community** we've built.",https://assets.whop.com/cdn-cgi/image/width=640/https://assets.whop.com/images/images/39266.original.jpeg?1692206182,https://assets.whop.com/images/images/39266.original.jpeg?1692206182,1,4511,FALSE,TRUE,af7d39af-84a9-4a4b-b6a2-18563e42bc6e
1fed04fd-96ba-4197-a95a-890ed8dcd2fa,Champs Only,The Trading Supercommunity,"Get access to the most powerful free community for traders. Live sessions, alpha calls, tools and more all in one place. Get a taste of the most powerful community in Web3 with zero commitment.",https://assets.whop.com/cdn-cgi/image/width=640/https://assets.whop.com/images/images/19187.original.?1691187857,https://assets.whop.com/images/images/19187.original.?1691187857,1,2692,TRUE,FALSE,af7d39af-84a9-4a4b-b6a2-18563e42bc6e
3fbe0506-0adc-49ee-bde4-39ac77a5daa9,Certified Crypto,The Original & Best Crypto Education Discord.,"Our Discord service provides you exclusive access to a wide range of benefits. These include:

*   Daily Members Updates
*   Crypto Investing
*   Swing Trade & Leverage Trading
*   Alt Coin Gem Research
*   Engaging educational content provided daily
*   Detailed charts and trading options, such as leverage, spot, and long-term trading
*   Networking opportunities with like-minded investors within our chatroom.
*   Members only live streams and real-time trade & investing ideas
*   Exclusive discounts on portfolio management guidance
*   And so much more!

By joining our community, you'll learn effective risk management techniques and develop profitable investing and trading skills using various disciplines and strategies.

Initially you may join our discord service for the educational content and profits, however after spending some time with our community you will remain due to the community driven experience. We often see members upgrade to the yearly subscription and committing to the community that we have built.",https://assets.whop.com/cdn-cgi/image/width=640/https://assets.whop.com/images/images/36487.original.jpeg?1692204649,https://assets.whop.com/images/images/36487.original.jpeg?1692204649,1,2273,FALSE,TRUE,af7d39af-84a9-4a4b-b6a2-18563e42bc6e
adaa0328-a401-4292-84ae-b19701f2fc05,Zzz Money Club,Real Passive Income Strategies,"Join a community of like-minded people that all have the same mission: make money while they sleep and find financial independence.

Our goal is to help you make your membership fee back many many times over every month.

What your VIP Membership includes:

*   20+ Passive Income Strategies
*   Weekly Live Streams
*   Growing Course Library
*   Portfolio Updates from Andy & DI
*   Exclusive Access to Andy & DI
*   Monthly income with Stock Options
*   Airdrop Guides/Alpha
*   Crypto trading
*   Crypto Options
*   New coins/projects to mine/buy
*   Resource Center
*   Alpha Channels",https://assets.whop.com/cdn-cgi/image/width=640/https://assets.whop.com/images/images/21454.original.png?1691188965,https://assets.whop.com/images/images/21454.original.png?1691188965,1,1758,FALSE,FALSE,af7d39af-84a9-4a4b-b6a2-18563e42bc6e
9cf00080-4713-44ba-aa52-802188bc6b9e,CryptoRise Group,All-in One Trading & Crypto Hub,"CRYPTORISE will help you to improve and become an independant trader, step by step. We will provide all proven working tools and share our experience and strategies with each member.

CRYPTORISE will cover every single aspect of trading and all of its surrounding components, such as economy, global finance or even geopolitics.

*   Detailed market analysis (crypto, indexes, forex...)
*   Macro-economic reviews
*   Global finance comments
*   Charts and setups every day
*   Access to our trading calls and current positions
*   Live trading sessions on a daily basis
*   Live Workshops and Q&As on selected thematics on a weekly basis
*   Mentorship : analyze and improve your results
*   Educational content
*   Daily interactions with us and dedicated members

_Join us to improve your financial and trading skills to become fully independant._",https://assets.whop.com/cdn-cgi/image/width=640/https://assets.whop.com/images/images/34065.original.jpeg?1692204233,https://assets.whop.com/images/images/34065.original.jpeg?1692204233,1,798,FALSE,TRUE,af7d39af-84a9-4a4b-b6a2-18563e42bc6e
74a48783-d8fb-491d-8792-214ce8dbd325,Ace of Trades,𝑳𝒊𝒇𝒆 𝒊𝒔 𝑩𝒆𝒕𝒕𝒆𝒓 𝑾𝒊𝒕𝒉 𝑭𝒓𝒆𝒆𝒅𝒐𝒎,"**Ace of Trades is a community of over 2,500 members, dedicated to making money through automated crypto trading. With a focus on personal growth and financial freedom, Ace of Trades offers a 14-day free trial to help individuals with no prior trading experience start earning money by copying weekly trades, taking only 15 minutes of their time each week.**",https://assets.whop.com/cdn-cgi/image/width=640/https://assets.whop.com/images/images/19734.original.jpeg?1691188034,https://assets.whop.com/images/images/19734.original.jpeg?1691188034,1,3193,TRUE,TRUE,af7d39af-84a9-4a4b-b6a2-18563e42bc6e
b9b8e3d6-541e-481c-afae-ac1b26a23c07,NFTea Cafe,Your Key to Financial Freedom,"☑️ All asset classes' trade signals (crypto, NFTs, Forex, more)

☑️ Spot, futures, swings, 50-100x gems, more

☑️ Comprehensive charts and analysis

☑️ Follow along trading competitions

☑️ Upcoming and early project finds

☑️ LIVE daily trading sessions

☑️ LIVE daily educational classes

☑️ Cutting-edge market research

☑️ Real-time macroeconomic education

☑️ Real-time news and current affairs

☑️ Access to our trading experts

☑️ On-demand learning guides

☑️ On-demand learning recordings

☑️ Comprehensive airdrop guides

☑️ Premium giveaways

☑️ Real estate investing education

☑️ Access to like-minded traders and investors",https://assets.whop.com/images/images/39407.original.gif?1692206196,https://assets.whop.com/images/images/39407.original.gif?1692206196,1,1663,TRUE,TRUE,af7d39af-84a9-4a4b-b6a2-18563e42bc6e
da0949c5-ce47-4601-8c7a-75040ae89ac9,AR Collection,Exclusive educational crypto trading community,"Access to Discord community  
Access to 11 Analysts & Trades

Streams and Courses:  
\-Daily market livestreams (BTC, ALTS, Research)  
\-Short Market Updates (5-13mins)  
\-On-demand learning library (80+ Videos on TA, FA, NFTs)  
\-Progress Tracker  
\-24 Hour customer support response time

Lists:  
\-Bluechip List  
\-VC list  
\-Portfolio Tracker (NFTs & Crypto)

Bots:  
\-Unlock Schedule Bot  
\-New listing Bot  
\-EMA Cross Bot  
\-Crypto News Bot  
\-Airdrop Bot",https://assets.whop.com/cdn-cgi/image/width=640/https://assets.whop.com/images/images/4049.original.?1691182570,https://assets.whop.com/images/images/4049.original.?1691182570,1,880,FALSE,FALSE,af7d39af-84a9-4a4b-b6a2-18563e42bc6e
812b89a8-f8a0-42cb-b7a3-a39eb9aae60b,Gold Squad,Crypto & Self Transformation,"Dive in and become a VIP member of the #1 crypto, self-transformation & money-making community. Our community is based around our Discord server which acts as the main hub for everything we do.

By joining the Gold Squad you will gain access to a wide range of VIP-exclusive perks:

*   Crypto trading signals from 6 of our traders
*   Crypto alpha
*   Internet business alpha
*   Members-only live Q&A calls with our founders/analysts,
*   Exclusive giveaways
*   Much more (Refer to the 'features' section below!)",https://assets.whop.com/cdn-cgi/image/width=640/https://assets.whop.com/images/images/32620.original.png?1692203967,https://assets.whop.com/images/images/32620.original.png?1692203967,1,2105,TRUE,TRUE,af7d39af-84a9-4a4b-b6a2-18563e42bc6e
a4521126-e985-48f6-9876-e4224db3d19b,Sousa vip room,Crypto trading for people who want more.,"This pass gives you access to the official sousa vip room discord for a price of €134,95 every 3 months.",https://assets.whop.com/cdn-cgi/image/width=640/https://assets.whop.com/images/images/4940.original.png?1691183120,https://assets.whop.com/images/images/4940.original.png?1691183120,1,3320,TRUE,TRUE,af7d39af-84a9-4a4b-b6a2-18563e42bc6e
453b8c8a-9438-46a3-b1ed-985868c21aa4,Good vibes Trading,Embrace the power of GOOD Vibez and watch your dreams manifest into reality!,"**Unlock your trading potential** with GOOD Vibez Trading Discord! Experience our _Supportive Community_, _Expert Mentors_, and _Real-Time Alerts_ for stocks, options, and crypto. With _Weekly & Daily Watchlists_ and access to our _Exclusive Trading Floor_, success is at your fingertips. Join now and let your dreams soar with GOOD Vibez!",https://assets.whop.com/cdn-cgi/image/width=640/https://assets.whop.com/images/images/32996.original.png?1692204079,https://assets.whop.com/images/images/32996.original.png?1692204079,1,3141,FALSE,TRUE,af7d39af-84a9-4a4b-b6a2-18563e42bc6e
